transaction_id,transaction_date,product_id,product_title,category,quantity,unit_price,total_amount,customer_id,extracted_at
TXN000001,2026-02-05 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,2,999.99,1999.98,CUST0089,2026-02-07 10:34:55.191332
TXN000002,2025-12-22 10:34:55,4,Mens Casual Slim Fit,men's clothing,4,15.99,63.96,CUST0018,2026-02-07 10:34:55.192336
TXN000003,2025-12-26 10:34:55,6,Solid Gold Petite Micropave ,jewelery,3,168.0,504.0,CUST0194,2026-02-07 10:34:55.193001
TXN000004,2026-01-03 10:34:55,7,White Gold Plated Princess,jewelery,3,9.99,29.97,CUST0105,2026-02-07 10:34:55.193513
TXN000005,2025-12-26 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,3,999.99,2999.97,CUST0082,2026-02-07 10:34:55.193960
TXN000006,2026-01-20 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,4,9.85,39.4,CUST0065,2026-02-07 10:34:55.194328
TXN000007,2025-11-18 10:34:55,19,Opna Women's Short Sleeve Moisture,women's clothing,5,7.95,39.75,CUST0119,2026-02-07 10:34:55.194662
TXN000008,2026-01-24 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,1,22.3,22.3,CUST0026,2026-02-07 10:34:55.195072
TXN000009,2025-12-19 10:34:55,3,Mens Cotton Jacket,men's clothing,1,55.99,55.99,CUST0138,2026-02-07 10:34:55.196688
TXN000010,2026-01-30 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,2,114.0,228.0,CUST0001,2026-02-07 10:34:55.197281
TXN000011,2026-01-22 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,2,64.0,128.0,CUST0022,2026-02-07 10:34:55.198096
TXN000012,2026-01-15 10:34:55,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,4,695.0,2780.0,CUST0148,2026-02-07 10:34:55.198802
TXN000013,2026-01-22 10:34:55,7,White Gold Plated Princess,jewelery,4,9.99,39.96,CUST0199,2026-02-07 10:34:55.199381
TXN000014,2025-12-22 10:34:55,16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,3,29.95,89.85,CUST0097,2026-02-07 10:34:55.199909
TXN000015,2025-12-06 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,2,599.0,1198.0,CUST0122,2026-02-07 10:34:55.200323
TXN000016,2025-12-12 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,5,12.99,64.95,CUST0145,2026-02-07 10:34:55.200767
TXN000017,2025-12-03 10:34:55,19,Opna Women's Short Sleeve Moisture,women's clothing,1,7.95,7.95,CUST0194,2026-02-07 10:34:55.201163
TXN000018,2026-01-30 10:34:55,19,Opna Women's Short Sleeve Moisture,women's clothing,1,7.95,7.95,CUST0054,2026-02-07 10:34:55.201607
TXN000019,2025-12-19 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,1,12.99,12.99,CUST0167,2026-02-07 10:34:55.202087
TXN000020,2026-01-31 10:34:55,3,Mens Cotton Jacket,men's clothing,1,55.99,55.99,CUST0104,2026-02-07 10:34:55.202563
