transaction_id,transaction_date,product_id,product_title,category,quantity,unit_price,total_amount,customer_id,extracted_at
TXN000001,2026-02-03 11:20:09,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,5,9.85,49.25,CUST0160,2026-02-06 11:20:09.758429
TXN000002,2025-11-25 11:20:09,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,4,695.0,2780.0,CUST0022,2026-02-06 11:20:09.759254
TXN000003,2026-01-10 11:20:09,16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,4,29.95,119.8,CUST0144,2026-02-06 11:20:09.759861
TXN000004,2025-11-09 11:20:09,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,5,114.0,570.0,CUST0117,2026-02-06 11:20:09.760420
TXN000005,2026-01-07 11:20:09,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,5,695.0,3475.0,CUST0132,2026-02-06 11:20:09.761067
TXN000006,2025-12-24 11:20:09,3,Mens Cotton Jacket,men's clothing,4,55.99,223.96,CUST0036,2026-02-06 11:20:09.761632
TXN000007,2026-01-17 11:20:09,6,Solid Gold Petite Micropave ,jewelery,2,168.0,336.0,CUST0160,2026-02-06 11:20:09.762125
TXN000008,2026-01-02 11:20:09,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,5,39.99,199.95,CUST0020,2026-02-06 11:20:09.762609
TXN000009,2025-12-10 11:20:09,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,3,10.99,32.97,CUST0098,2026-02-06 11:20:09.763108
TXN000010,2025-12-10 11:20:09,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,3,599.0,1797.0,CUST0043,2026-02-06 11:20:09.763616
TXN000011,2025-12-09 11:20:09,7,White Gold Plated Princess,jewelery,2,9.99,19.98,CUST0168,2026-02-06 11:20:09.764099
TXN000012,2025-12-23 11:20:09,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,4,39.99,159.96,CUST0122,2026-02-06 11:20:09.764575
TXN000013,2026-01-18 11:20:09,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,5,9.85,49.25,CUST0142,2026-02-06 11:20:09.765069
TXN000014,2025-12-01 11:20:09,3,Mens Cotton Jacket,men's clothing,1,55.99,55.99,CUST0063,2026-02-06 11:20:09.765556
TXN000015,2025-12-25 11:20:09,10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,2,109.0,218.0,CUST0046,2026-02-06 11:20:09.766033
TXN000016,2025-11-18 11:20:09,3,Mens Cotton Jacket,men's clothing,4,55.99,223.96,CUST0125,2026-02-06 11:20:09.766490
TXN000017,2026-01-09 11:20:09,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,4,64.0,256.0,CUST0044,2026-02-06 11:20:09.766929
TXN000018,2025-11-22 11:20:09,16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,4,29.95,119.8,CUST0164,2026-02-06 11:20:09.767810
TXN000019,2026-01-02 11:20:09,7,White Gold Plated Princess,jewelery,2,9.99,19.98,CUST0038,2026-02-06 11:20:09.768840
TXN000020,2026-02-05 11:20:09,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,5,22.3,111.5,CUST0083,2026-02-06 11:20:09.769410
TXN000021,2026-02-03 11:20:09,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,1,999.99,999.99,CUST0121,2026-02-06 11:20:09.769967
TXN000022,2025-12-23 11:20:09,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,1,114.0,114.0,CUST0181,2026-02-06 11:20:09.770478
